IAS,Date,Development,Comments
24,4 November 2009,IAS 24 Related Party Disclosures issued,Effective for annual periods beginning on or after 1 January 2011
24,12 December 2013,Amended by Annual Improvements to IFRSs 2010–2012 Cycle (entities providing key management personnel services),Effective for annual periods beginning on or after 1 July 2014
26,July 1985,Exposure Draft E27 Accounting and Reporting by Retirement Benefit Plans,
26,January 1987,IAS 26 Accounting and Reporting by Retirement Benefit Plans,
26,1 January 1988,Effective date of IAS 26 (1987),
26,1994,IAS 26 was reformatted,
27,September 1987,Exposure Draft E30 Consolidated Financial Statements and Accounting for Investments in Subsidiaries,
27,April 1989,IAS 27 Consolidated Financial Statements and Accounting for Investments in Subsidiaries,
27,1 January 1990,Effective date of IAS 27 (1989),
27,1994,IAS 27 was reformatted,
27,December 1998,IAS 27 was amended by IAS 39 Financial Instruments: Recognition and Measurement effective 1 January 2001,
27,18 December 2003,Revised version of IAS 27 issued by the IASB,
27,1 January 2005,Effective date of IAS 27 (2003),
27,25 June 2005,Exposure Draft of Proposed Amendments to IFRS 3 and IAS 27,
27,10 January 2008,Revised IAS 27 (2008) issued,
27,22 May 2008,IAS 27 amended for Cost of a Subsidiary in the Separate Financial Statements of a Parent on First-time Adoption of IFRSs,
27,22 May 2008,IAS 27 amended for Annual Improvements to IFRSs 2007 relating to measurement of investments held for sale under IFRS 5 in separate financial statements,
27,1 January 2009,Effective date of the two May 2008 amendments,
27,1 July 2009,Effective date of IAS 27 (2008). Deloitte has published a Special Edition of our IAS Plus Newsletter dealing with the January 2008 revisions to IFRS 3 and IAS 27 (PDF 123k).,
27,6 May 2010,IAS 27 amended for Annual Improvements to IFRSs 2010,
27,1 July 2010,Effective date of May 2010 amendment to IAS 27,
27,12 May 2011,IAS 27 (2008) is superseded by IAS 27 Separate Financial Statements (2011) and IFRS 10 Consolidated Financial Statements effective 1 January 2013,
28,July 1986,Exposure Draft E28 Accounting for Investments in Associates and Joint Ventures,
28,April 1989,IAS 28 Accounting for Investments in Associates issued,Effective 1 January 1990
28,1994,IAS 28 was reformatted,
28,December 1998,Amended by IAS 39 Financial Instruments: Recognition and Measurement,Effective 1 January 2001
28,18 December 2003,IAS 28 Investments in Associates issued,Effective for annual periods beginning on or after 1 January 2005
28,10 January 2008,Amended by IFRS 3 Business Combinations (loss of significant influence),Effective for annual periods beginning on or after 1 July 2009
28,22 May 2008,Amended by Improvements to IFRSs (impairment testing),Effective for annual periods beginning on or after 1 January 2009
28,12 May 2011,Superseded by IAS 28 Investments in Associates and Joint Ventures (2011),Effective for annual periods beginning on or after 1 January 2013
29,November 1987,Exposure Draft E31 Financial Reporting in Hyperinflationary Economies,
29,July 1989,IAS 29 Financial Reporting in Hyperinflationary Economies,
29,1 January 1990,Effective date of IAS 29 (1989),
29,1994,IAS 29 was reformatted,
29,22 May 2008,IAS 29 amended for Annual Improvements to IFRSs 2007,
29,1 January 2009,Effective date of the May 2008 revisions to IAS 29,
30,April 1987,Exposure Draft E29 Disclosures in Financial Statements of Banks,
30,July 1989,Exposure Draft E29 was modified and re-exposed as Exposure Draft E34 Disclosures in Financial Statements of Banks and Similar Financial Institutions,
30,August 1990,IAS 30 Disclosures in Financial Statements of Banks and Similar Financial Institutions,
30,1 January 1991,Effective date of IAS 30 (1990),
30,1994,IAS 30 was reformatted,
30,December 1998,"IAS 30 was amended by IAS 39 Financial Instruments: Recognition and Measurement, effective 1 January 2001",
30,18 August 2005,IAS 30 is superseded by IFRS 7 Financial Instruments: Disclosures effective 1 January 2007,
31,December 1989,Exposure Draft E35 Financial Reporting of Interests in Joint Ventures,
31,December 1990,IAS 31 Financial Reporting of Interests in Joint Ventures,
31,1 January 1992,Effective date of IAS 31 (1990),
31,1994,IAS 31 was reformatted,
31,December 1998,IAS 31 was revised by IAS 39 effective 1 January 2001,
31,18 December 2003,Revised version of IAS 31 issued by the IASB,
31,1 January 2005,Effective date of IAS 31 (Revised 2003),
31,13 September 2007,Exposure Draft ED 9 Joint Arrangements issued. Proposes to replace IAS 31 with a new standard titled Joint Arrangements.,
31,10 January 2008,Some significant revisions of IAS 31 were adopted as a result of the Business Combinations Phase II Project relating to loss of joint control,
31,22 May 2008,IAS 31 amended for Annual Improvements to IFRSs 2007 for certain disclosures and reversals of impairment losses (equity method),
31,1 January 2009,Effective date of the May 2008 revisions to IAS 31,
31,1 July 2009,Effective date of the January 2008 revisions to IAS 31,
31,12 May 2011,IAS 31 is superseded by IFRS 11 Joint Arrangements and IFRS 12 Disclosure of Interests in Other Entities effective 1 January 2013,
32,September 1991,Exposure Draft E40 Financial Instruments,
32,January 1994,E40 was modified and re-exposed as Exposure Draft E48 Financial Instruments,
32,June 1995,The disclosure and presentation portion of E48 was adopted as IAS 32 Financial Instruments: Disclosure and Presentation,
32,1 January 1996,Effective date of IAS 32 (1995),
32,December 1998,"IAS 32 was revised by IAS 39, effective 1 January 2001",
32,17 December 2003,Revised version of IAS 32 issued by the IASB,
32,1 January 2005,Effective date of IAS 32 (2003),
