IFRS,Date,Development,Comments
7,12-Feb-2021,Amended by Disclosure of Accounting Policies (Amendments to IAS 1 and IFRS Practice Statement 2 Making Materiality Judgements); the amendments state that information about the measurement basis of financial instruments represent material accounting policy information and give examples,Effective for annual periods beginning on or after 1 January 2023
7,25-May-2023,"Amended by Supplier Finance Arrangements (Amendments to IAS 7 and IFRS 7); the amendments add disclosure requirements, and ‘signposts’ within existing disclosure requirements, that ask entities to provide qualitative and quantitative information about supplier finance arrangements",Effective for annual periods beginning on or after 1 January 2024
7,09-Apr-2024,Amended by IFRS 18 Presentation and Disclosure in Financial Statements; the amendments move the disclosure requirements in IAS 1:80A and IAS 1:136A regards puttable financial instruments classified as equity instruments to IFRS 7,Effective for annual periods beginning on or after 1 January 2027
7,30-May-2024,Amended by Amendments to the Classification and Measurement of Financial Instruments (Amendments to IFRS 9 and IFRS 7) to address matters identified during the post-implementation review of the classification and measurement requirements of IFRS 9 Financial Instruments,Effective for annual periods beginning on or after 1 January 2026
7,18-Jul-2024,Amended by Annual Improvements to IFRS Accounting Standards — Volume 11,The amendments are effective for annual reporting periods beginning on or after 1 January 2026
8,19 January 2006,ED 8 Operating Segments issued,Comment deadline 19 May 2006. (IASB press release)
8,30 November 2006,IFRS 8 Operating Segments issued,"Effective for annual periods beginning on or after 1 January 2009, superseding IAS 14 Segment Reporting"
8,16 April 2009,Amended by Annual Improvements to IFRSs 2009 (disclosures of segment assets),Effective for annual periods beginning on or after 1 January 2010
8,18 July 2013,Report and Feedback Statement Post-implementation Review: IFRS 8 Operating Segments published,Areas for potential improvement and amendment will be considered through the IASB's normal processes
8,12 December 2013,"Amended by Annual Improvements to IFRSs 2010–2012 Cycle (aggregation of operating segments, reconciliations of assets)",Effective for annual periods beginning on or after 1 July 2014
9,14 July 2009,Exposure Draft ED/2009/7 Financial Instruments: Classification and Measurement published,Comment deadline 14 September 2009
9,12 November 2009,"IFRS 9 Financial Instruments issued, covering classification and measurement of financial assets","Original effective date 1 January 2013, later removed"
9,11 May 2010,Exposure Draft ED/2010/4 Fair Value Option for Financial Liabilities published,Comment deadline 16 July 2010
9,28 October 2010,"IFRS 9 Financial Instruments reissued, incorporating new requirements on accounting for financial liabilities and carrying over from IAS 39 the requirements for derecognition of financial assets and financial liabilities","Original effective date 1 January 2013, later removed"
9,4 August 2011,"ED/2011/3 Amendments to IFRS 9 (2009) and IFRS 9 (2010): Mandatory Effective Date published, proposing the adjust the mandatory effective date of IFRS 9 from 1 January 2013 to 1 January 2015",Comment deadline 21 October 2011
