Standard Name,Date,Development,Comment
IAS 19,Dec-1992,E47 Retirement Benefit Costs published,
IAS 19,Dec-1993,IAS 19 Retirement Benefit Costs issued,Operative for financial statements covering periods beginning on or after 1 January 1995
IAS 19,Oct-1996,E54 Employee Benefits published,Comment deadline 31 January 1997
IAS 19,Feb-1998,IAS 19 Employee Benefits issued,Operative for financial statements covering periods beginning on or after 1 January 1999
IAS 19,Jul-2000,E67 Pension Plan Assets published,
IAS 19,Oct-2000,"Amended to change the definition of plan assets and to introduce recognition, measurement and disclosure requirements for reimbursements",Operative for annual financial statements covering periods beginning on or after 1 January 2001
IAS 19,May-2002,Amended to prevent the recognition of gains solely as a result of actuarial losses or past service cost and the recognition of losses solely as a result of actuarial gains,Operative for annual financial statements covering periods ending on or after 31 May 2002
IAS 19,05-Dec-2002,"ED 2 Share-based Payment published, proposing to replace the equity compensation benefits requirements of IAS 19",Comment deadline 7 March 2003
IAS 19,Feb-2004,Equity compensation benefits requirements replaced by IFRS 2 Share-based Payment,Effective for annual reporting periods beginning on or after 1 January 2005
IAS 19,29-Apr-2004,"Exposure Draft Proposed Amendments to IAS 19 Employee Benefits: Actuarial Gains and Losses, Group Plans and Disclosures published",Comment deadline 31 July 2004
IAS 19,19-Dec-2004,"Actuarial Gains and Losses, Group Plans and Disclosures issued",Effective for annual periods beginning on or after 1 January 2006
IAS 19,22-May-2008,Amended by Annual Improvements to IFRSs (negative past service costs and curtailments),Effective for annual periods beginning on or after 1 January 2009
IAS 19,20-Aug-2009,ED/2009/10 Discount Rate for Employee Benefits (Proposed amendments to IAS 19) published,Comment deadline 30 September 2009
IAS 19,,,(proposals were not finalised)
IAS 19,29-Apr-2010,ED/2010/3 Defined Benefit Plans (Proposed amendments to IAS 19) published,Comment deadline 6 September 2010
IAS 19,16-Jun-2011,IAS 19 Employee Benefits (amended 2011) issued,Effective for annual periods beginning on or after 1 January 2013
IAS 19,25-Mar-2013,ED/2013/4 Defined Benefit Plans: Employee Contributions (Proposed amendments to IAS 19) published,Comment deadline 25 July 2013
IAS 19,21-Nov-2013,Defined Benefit Plans: Employee Contributions (Amendments to IAS 19) issued,Effective for annual periods beginning on or after 1 July 2014
IAS 19,25-Sep-2014,Amended by Improvements to IFRSs 2014 (discount rate: regional market issue),Effective for annual periods beginning on or after 1 January 2016
IAS 19,07-Feb-2018,"Plan Amendment, Curtailment or Settlement (Amendments to IAS 19) issued",Effective for annual periods beginning on or after 1 January 2019
IAS 19,,,
IAS 20,Sep-1981,Exposure Draft E21 Accounting for Government Grants and Disclosure of Government Assistance,
IAS 20,Apr-1983,IAS 20 Accounting for Government Grants and Disclosure of Government Assistance,
IAS 20,01-Jan-1984,Effective date of IAS 20 (1983),
IAS 20,1994,IAS 20 (1983) was reformatted,
IAS 20,22-May-2008,IAS 20 amended for Annual Improvements to IFRSs 2007 to bring it in line with IAS 39 in respect of loans with the below market-rate of interest,
IAS 20,01-Jan-2009,Effective date of May 2008 amendment to IAS 20,
IAS 21,Dec-1977,Exposure Draft E11 Accounting for Foreign Transactions and Translation of Foreign Financial Statements,
IAS 21,Mar-1982,E11 was modified and re-exposed as Exposure Draft E23 Accounting for the Effects of Changes in Foreign Exchange Rates,
